Date,Day of the Week,Sleep_Hours,Work_Hours,Study_Hours,Chore_Time_Mins,Distraction_Time_Mins,Travel Time (Hours),Mode of Transport,Music_Time_Hours,Main_Music_Genre,Tasks_Completed,Mood_Rating,Focus_Rating,Notes,Computed_Day,Day_Match,Is_Weekend,Transport_Public_Transport,Transport_Motorcycle,Genre_Rock,Genre_OPM,Genre_Podcast,Genre_Jazz,Genre_Lofi,Genre_Classical,Genre_News,Genre_Pop,Genre_Oldies,Genre_RandB,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster
2025-11-19,Wednesday,5.0,10.0,3.0,65.0,127.0,2.8,Public Transport,2.0,"Pop, R&B",8.0,4.0,3.0,"Done finishing admin, Need to layout design sa business. Ayusin ang PC Pasay. Deliver ang monitor and saksakan. RFM",Wednesday,True,False,1,0,0,0,0,0,0,0,0,1,0,1,0,2,-1,0
2025-11-20,Thursday,5.5,7.0,5.0,60.0,252.0,1.3,"Public Transport, Motorcycle",1.0,"Pop, News, Jazz",4.0,3.0,4.0,"maraming gagawin sa shop, deliveries, payroll, repairs and duty sa shop. Meron adjustment sa project. Thesis new task",Thursday,True,False,1,1,0,0,0,1,0,0,1,1,0,0,0,2,0,2
2025-11-21,Friday,6.0,9.0,4.0,60.0,174.0,1.1,Public Transport,2.0,"Jazz, Classical",5.0,5.0,2.0,"Reformat PC, create designs and payroll ng tao",Friday,True,False,1,0,0,0,0,1,0,1,0,0,0,0,0,2,-1,2
2025-11-22,Monday,6.0,3.0,7.516666667,20.0,270.0,2.65,"Public Transport, Motorcycle",1.0,"Jazz, Lofi",4.0,5.0,2.0,,Saturday,False,True,1,1,0,0,0,1,1,0,0,0,0,0,0,2,-1,2
2025-11-23,Tuesday,3.0,4.0,10.1,60.0,270.0,1.4,Public Transport,4.0,"Classical, Jazz, News, Rock",10.0,4.0,5.0,"Done house clean, PC clean, Repairs, Stocks replenish and ordering",Sunday,False,True,1,0,1,0,0,1,0,1,1,0,0,0,0,2,-1,2
2025-11-24,Wednesday,7.0,6.0,5.0,45.0,138.0,2.95,Public Transport,1.0,"R&B, News",4.0,2.0,2.0,,Monday,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,2,-1,0
2025-11-25,Thursday,8.0,3.0,5.833333333,40.0,330.0,1.0,"Public Transport, Motorcycle",2.0,"Pop, Podcast",3.0,3.0,4.0,,Tuesday,False,False,1,1,0,0,1,0,0,0,0,1,0,0,0,0,-1,2
2025-11-26,Friday,7.0,1.0,8.3,180.0,210.0,1.2,Public Transport,1.0,"R&B, Rock",2.0,2.0,3.0,"Hangover with GF, Online Class and Company short onsite meeting",Wednesday,False,False,1,0,1,0,0,0,0,0,0,0,0,1,2,0,-1,2
2025-11-27,Monday,6.0,7.0,5.0,90.0,108.0,2.7,"Public Transport, Motorcycle",1.0,Jazz,4.0,4.0,3.0,,Thursday,False,False,1,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
2025-11-28,Tuesday,4.0,1.0,9.816666667,200.0,270.0,1.35,Public Transport,1.0,Pop,3.0,3.0,4.0,Slight personal problems and academics and ex,Friday,False,False,1,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,2
2025-11-29,Wednesday,5.0,1.0,6.5,300.0,210.0,3.0,Public Transport,2.0,Jazz,2.0,5.0,4.0,Baked cookies and cake,Saturday,False,True,1,0,0,0,0,1,0,0,0,0,0,0,2,0,-1,1
2025-11-30,Thursday,10.0,2.0,6.3,60.0,195.0,1.45,"Public Transport, Motorcycle",8.0,"Oldies, Jazz",3.0,2.0,4.0,"Nag baking, cooking",Sunday,False,True,1,1,0,0,0,1,0,0,0,0,1,0,2,0,-1,2
2025-12-01,Friday,7.0,7.0,5.0,40.0,170.0,1.5,Public Transport,4.0,"Lofi, R&B",3.0,2.0,4.0,"Worked in the day, study at night and limited food intake",Monday,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2
2025-12-02,Monday,6.0,7.0,4.25,45.0,210.0,2.5,"Public Transport, Motorcycle",4.0,"Pop, Rock",6.0,4.0,4.0,"most focused, no breakfast, most busiest day of working",Tuesday,False,False,1,1,1,0,0,0,0,0,0,1,0,0,0,2,-1,0
2025-12-03,Tuesday,5.0,7.0,7.116666667,60.0,170.0,1.05,Public Transport,6.0,Lofi,4.0,2.0,2.0,"Late night study so not enought sleep, cant focus to much and same as yesterday, most busiest",Wednesday,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,2
2025-12-04,Wednesday,6.0,8.0,5.0,60.0,75.0,2.75,Public Transport,6.0,"Jazz, News, Podcast",7.0,4.0,5.0,"Not the busiest and i tackled all of my back jobs, school in evening and thesis",Thursday,False,False,1,0,0,0,1,1,0,0,1,0,0,0,0,2,-1,0
2025-12-05,Thursday,5.0,7.0,6.516666667,50.0,210.0,1.15,"Public Transport, Motorcycle",1.0,"Pop, Classical, Jazz",3.0,3.0,4.0,,Friday,False,False,1,1,0,0,0,1,0,1,0,1,0,0,0,2,0,2
2025-12-06,Friday,8.0,7.0,3.75,30.0,210.0,1.25,Public Transport,7.0,"Podcast, News, Pop",6.0,5.0,2.0,"Typical working session in saturday, no classes",Saturday,False,True,1,0,0,0,1,0,0,0,1,1,0,0,0,2,-1,2
2025-12-07,Monday,5.0,0.0,5.0,480.0,189.0,2.85,"Public Transport, Motorcycle",1.0,R&B,2.0,4.0,5.0,"Family day, birthday and play with siblings",Sunday,False,True,1,1,0,0,0,0,0,0,0,0,0,1,2,0,-1,1
2025-12-08,Tuesday,6.0,7.0,5.6,30.0,210.0,1.4,Public Transport,4.0,Lofi,3.0,4.0,5.0,Work and school,Monday,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
2025-12-09,Wednesday,7.0,8.0,3.0,30.0,174.0,2.6,Public Transport,3.0,"Pop, News",4.0,3.0,1.0,,Tuesday,False,False,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
2025-12-10,Thursday,5.0,7.0,5.45,45.0,270.0,1.3,"Public Transport, Motorcycle",3.0,Jazz,5.0,5.0,2.0,So pagod on work and study the same time,Wednesday,False,False,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
2025-12-11,Friday,6.0,6.0,5.5,30.0,300.0,1.0,Public Transport,1.0,R&B,9.0,1.0,5.0,,Thursday,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,2
2025-12-12,Monday,8.0,9.0,1.0,45.0,141.0,2.9,"Public Transport, Motorcycle",6.0,"Podcast, News",5.0,5.0,5.0,Sahod day,Friday,False,False,1,1,0,0,1,0,0,0,1,0,0,0,0,2,-1,0
2025-12-13,Tuesday,7.0,8.0,4.0,130.0,104.0,1.1,Public Transport,8.0,"Lofi, Pop",7.0,4.0,3.0,Help working while taking online class,Saturday,False,True,1,0,0,0,0,0,1,0,0,1,0,0,0,2,-1,2
2025-12-14,Wednesday,8.0,0.0,4.95,180.0,330.0,2.55,Public Transport,5.0,Oldies,2.0,3.0,2.0,Sunday,Sunday,False,True,1,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,2
2025-12-15,Thursday,7.0,6.0,5.8,30.0,210.0,1.2,"Public Transport, Motorcycle",2.0,Pop,4.0,2.0,1.0,monday again,Monday,False,False,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2
2025-12-16,Friday,6.0,7.0,5.216666667,60.0,200.0,1.45,Public Transport,4.0,"Rock, R&B",3.0,4.0,4.0,,Tuesday,False,False,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2
