Algorithm,ANOVA Mood F-stat,ANOVA Mood p-value,ANOVA Focus F-stat,ANOVA Focus p-value
K-Means,32.602507635243676,5.1205736331798045e-11,21.403235613146755,3.8919903538573226e-08
Hierarchical,32.68349981387908,4.8997152680457315e-11,21.32650225772838,4.089799305736439e-08
GMM,5.933469816756741,0.003992926954370457,5.2789030501069085,0.007076889199214833
